1,2,3
1.141141141141141180e+00,1.818218877337250516e+00,5.000000000000000000e+00
1.171171171171171199e+00,1.842413801133479634e+00,5.000000000000000000e+00
1.201201201201201219e+00,1.864947356040564719e+00,5.000000000000000000e+00
1.231231231231231238e+00,1.885799222764836802e+00,5.000000000000000000e+00
1.261261261261261257e+00,1.904950598449611343e+00,5.000000000000000000e+00
1.291291291291291277e+00,1.922384213630380811e+00,5.000000000000000000e+00
1.321321321321321296e+00,1.938084347807293772e+00,5.000000000000000000e+00
1.351351351351351315e+00,1.952036843620879702e+00,5.000000000000000000e+00
1.381381381381381335e+00,1.964229119618233099e+00,5.000000000000000000e+00
1.411411411411411354e+00,1.974650181598150755e+00,5.000000000000000000e+00
1.441441441441441373e+00,1.983290632524985497e+00,5.000000000000000000e+00
1.471471471471471393e+00,1.990142681002283087e+00,5.000000000000000000e+00
1.501501501501501412e+00,1.995200148298555520e+00,5.000000000000000000e+00
1.531531531531531432e+00,1.998458473918859113e+00,5.000000000000000000e+00
1.561561561561561451e+00,1.999914719717152733e+00,5.000000000000000000e+00
1.591591591591591470e+00,1.999567572545725813e+00,5.000000000000000000e+00
1.621621621621621712e+00,1.997417345439310710e+00,5.000000000000000000e+00
1.651651651651651731e+00,1.993465977332807171e+00,5.000000000000000000e+00
1.681681681681681750e+00,1.987717031312878024e+00,5.000000000000000000e+00
1.711711711711711770e+00,1.980175691404988614e+00,5.000000000000000000e+00
1.741741741741741789e+00,1.970848757898790105e+00,5.000000000000000000e+00
1.771771771771771808e+00,1.959744641216061289e+00,5.000000000000000000e+00
1.801801801801801828e+00,1.946873354326736694e+00,5.000000000000000000e+00
1.831831831831831847e+00,1.932246503719862840e+00,5.000000000000000000e+00
1.861861861861861867e+00,1.915877278937620165e+00,5.000000000000000000e+00
1.891891891891891886e+00,1.897780440681853031e+00,5.000000000000000000e+00
1.921921921921921905e+00,1.877972307503829263e+00,5.000000000000000000e+00
1.951951951951951925e+00,1.856470741089231824e+00,5.000000000000000000e+00
1.981981981981981944e+00,1.833295130151653352e+00,5.000000000000000000e+00
2.012012012012012185e+00,1.808466372949115275e+00,5.000000000000000000e+00
2.042042042042042205e+00,1.782006858439378894e+00,5.000000000000000000e+00
2.072072072072072224e+00,1.753940446091040162e+00,5.000000000000000000e+00
2.102102102102102243e+00,1.724292444368612509e+00,5.000000000000000000e+00
2.132132132132132263e+00,1.693089587911000837e+00,5.000000000000000000e+00
2.162162162162162282e+00,1.660360013423943792e+00,5.000000000000000000e+00
2.192192192192192302e+00,1.626133234308162923e+00,5.000000000000000000e+00
2.222222222222222321e+00,1.590440114046098197e+00,5.000000000000000000e+00
2.252252252252252340e+00,1.553312838371228022e+00,5.000000000000000000e+00
2.282282282282282360e+00,1.514784886245068130e+00,5.000000000000000000e+00
2.312312312312312379e+00,1.474890999668023728e+00,5.000000000000000000e+00
2.342342342342342398e+00,1.433667152351312923e+00,5.000000000000000000e+00
2.372372372372372418e+00,1.391150517278214593e+00,5.000000000000000000e+00
2.402402402402402437e+00,1.347379433183891306e+00,5.000000000000000000e+00
2.432432432432432456e+00,1.302393369984012672e+00,5.000000000000000000e+00
2.462462462462462476e+00,1.256232893183351962e+00,5.000000000000000000e+00
2.492492492492492495e+00,1.208939627296455210e+00,5.000000000000000000e+00
2.522522522522522515e+00,1.160556218313361532e+00,5.000000000000000000e+00
2.552552552552552534e+00,1.111126295244223350e+00,5.000000000000000000e+00
2.582582582582582553e+00,1.060694430777504804e+00,5.000000000000000000e+00
2.612612612612612573e+00,1.009306101087231067e+00,5.000000000000000000e+00
2.642642642642642592e+00,9.570076448255334656e-01,5.000000000000000000e+00
2.672672672672672611e+00,9.038462213374678367e-01,5.000000000000000000e+00
2.702702702702702631e+00,8.498697681357856304e-01,5.000000000000000000e+00
2.732732732732732650e+00,7.951269576740046530e-01,5.000000000000000000e+00
2.762762762762762669e+00,7.396671534567562656e-01,5.000000000000000000e+00
2.792792792792792689e+00,6.835403655269896017e-01,5.000000000000000000e+00
2.822822822822822708e+00,6.267972053701683643e-01,5.000000000000000000e+00
2.852852852852852727e+00,5.694888402761261181e-01,5.000000000000000000e+00
2.882882882882882747e+00,5.116669471997340457e-01,5.000000000000000000e+00
2.912912912912912766e+00,4.533836661619848885e-01,5.000000000000000000e+00
2.942942942942942786e+00,3.946915532335148469e-01,5.000000000000000000e+00
2.972972972972972805e+00,3.356435331429584168e-01,5.000000000000000000e+00
3.003003003003002824e+00,2.762928515528718099e-01,5.000000000000000000e+00
3.033033033033032844e+00,2.166930270462587571e-01,5.000000000000000000e+00
3.063063063063062863e+00,1.568978028669947566e-01,5.000000000000000000e+00
3.093093093093092882e+00,9.696109845766624769e-02,5.000000000000000000e+00
3.123123123123122902e+00,3.693696083852586465e-02,5.000000000000000000e+00
3.153153153153152921e+00,-2.312048412859405919e-02,5.000000000000000000e+00
3.183183183183182940e+00,-8.315708054746191735e-02,5.000000000000000000e+00
